Day,Month,Year,pm10_egnatia,pm10_egnatia_yest,pm10_lagkada,pm25_egnatia,no2_egnatia,so2_egnatia,temperature_egnatia,humidity_egnatia,WINDS_kord,Target
2726,19,6,2007,72,60,44,39,129,6,32.6,35,1.63,68
2727,20,6,2007,68,72,28,40,130,6,33.1,29,1.34,75
2728,21,6,2007,75,68,51,52,113,8,30.3,50,1.32,76
2729,22,6,2007,76,75,63,52,115,10,30.3,51,1.13,74
2730,23,6,2007,74,76,65,55,100,3,30.3,55,1.05,80
2731,24,6,2007,80,74,73,48,87,2,33.5,46,1.08,85
2732,25,6,2007,85,80,86,55,109,3,31.5,51,1.03,91
2733,26,6,2007,91,85,102,56,119,3,33.4,42,0.88,88
2734,27,6,2007,88,91,96,48,138,3,36.3,21,1.65,61
2735,28,6,2007,61,88,43,36,119,6,33.1,17,1.51,74
2736,29,6,2007,74,61,39,55,105,9,29.2,38,1.48,61
2737,30,6,2007,61,74,30,37,87,4,26.7,54,,45
2738,1,7,2007,45,61,27,30,79,4,27,52,1.45,59
2739,2,7,2007,59,45,39,40,95,5,28.2,52,1.42,55
2740,3,7,2007,55,59,34,37,104,6,28.1,55,1.22,59
2741,4,7,2007,59,55,39,40,104,4,28.7,56,1.53,53
2742,5,7,2007,53,59,51,27,125,5,29.9,36,2.36,45
2743,6,7,2007,45,53,21,24,136,8,27.8,19,1.33,58
2744,7,7,2007,58,45,33,39,98,8,28.1,30,1.2,63
2745,8,7,2007,63,58,33,44,100,7,29.3,37,1.16,72
2746,9,7,2007,72,63,46,44,118,9,29.5,46,1.22,78
2747,10,7,2007,78,72,51,52,115,8,30.1,47,1.59,76
2748,11,7,2007,76,78,53,52,113,15,30.5,47,2.77,58
2749,12,7,2007,58,76,57,25,134,9,27.8,25,2.36,45
2750,13,7,2007,45,58,23,24,138,5,27.6,21,1.83,51
2751,14,7,2007,51,45,23,34,112,16,28.6,25,1.57,50
2752,15,7,2007,50,51,36,36,92,7,28.9,35,1.33,67
2753,16,7,2007,67,50,55,47,115,9,29.9,37,1.19,72
2754,17,7,2007,72,67,63,50,137,6,31.7,36,1.15,65
2755,18,7,2007,65,72,70,45,127,4,31.9,38,1.2,64
2756,19,7,2007,64,65,65,45,135,9,32.4,33,1.25,69
2757,20,7,2007,69,64,71,48,120,5,31.6,42,1.24,53
2758,21,7,2007,53,69,57,38,104,5,30.9,47,1.13,55
2759,22,7,2007,55,53,58,39,94,4,31.5,47,1.1,76
2760,23,7,2007,76,55,76,53,147,8,32.5,40,0.93,121
2761,24,7,2007,121,76,125,76,160,7,34.7,33,0.88,130
2762,25,7,2007,130,121,125,79,159,6,35.2,28,2.07,76
2763,26,7,2007,76,130,72,53,138,7,31,30,1.53,47
2764,27,7,2007,47,76,47,34,94,7,30.2,47,1.27,52
2765,28,7,2007,52,47,43,37,91,5,30.2,49,1.28,40
2766,29,7,2007,40,52,38,29,80,5,30.6,49,1.28,43
2767,30,7,2007,43,40,49,32,90,7,29.4,60,1.59,53
2768,31,7,2007,53,43,56,38,111,5,29.8,40,,73
2769,1,8,2007,73,53,69,41,110,8,29.6,39,1.86,53
2770,2,8,2007,53,73,27,43,78,6,26.1,48,1.64,51
2771,3,8,2007,51,53,33,36,85,3,27,53,1.32,51
2772,4,8,2007,51,51,35,37,83,3,27.1,56,1.74,34
2773,5,8,2007,34,51,16,23,78,5,19.2,78,1.45,44
2774,6,8,2007,44,34,15,22,89,3,21.5,65,1.42,43
