Day,Month,Year,o3_egnatia,o3_egnatia_yest,o3_eptapyrgiou,o3_lagkada,no2_egnatia,no2_egnatia_yest,temperature_egnatia,humidity_egnatia,WINDS_kord,WINDD_kord,Target
2713,6,6,2007,34,41,58,43,106,108,21.2,71,0.93,118.52,35
2714,7,6,2007,35,34,69,48,111,106,24.6,49,1.06,144.63,37
2715,8,6,2007,37,35,62,49,116,111,24.4,48,1.08,187.94,54
2716,9,6,2007,54,37,82,66,97,116,25.4,43,1.23,185.84,55
2717,10,6,2007,55,54,73,65,83,97,25.3,46,1.25,154.78,54
2718,11,6,2007,54,55,81,63,97,83,25.6,47,1.28,179.45,53
2719,12,6,2007,53,54,74,62,102,97,26.4,47,1.28,240.21,48
2720,13,6,2007,48,53,67,64,96,102,26.5,52,1.32,219.88,54
2721,14,6,2007,54,48,75,70,111,96,26.2,51,1.07,138.34,50
2722,15,6,2007,50,54,76,60,115,111,28.3,47,1.03,172.44,41
2723,16,6,2007,41,50,72,50,113,115,27.8,47,1.08,232.93,34
2724,17,6,2007,34,41,66,56,100,113,30,35,1.26,204.74,42
2725,18,6,2007,42,34,63,50,107,100,30.7,38,1.07,244.55,33
2726,19,6,2007,33,42,54,43,129,107,32.6,35,1.63,226.03,41
2727,20,6,2007,41,33,72,60,130,129,33.1,29,1.34,270.43,50
2728,21,6,2007,50,41,74,58,113,130,30.3,50,1.32,182.88,59
2729,22,6,2007,59,50,84,59,115,113,30.3,51,1.13,160.65,65
2730,23,6,2007,65,59,89,65,100,115,30.3,55,1.05,219.77,55
2731,24,6,2007,55,65,83,53,87,100,33.5,46,1.08,186.94,47
2732,25,6,2007,47,55,92,56,109,87,31.5,51,1.03,175.05,49
2733,26,6,2007,49,47,76,53,119,109,33.4,42,0.88,142.48,34
2734,27,6,2007,34,49,74,52,138,119,36.3,21,1.65,263.3,35
2735,28,6,2007,35,34,84,69,119,138,33.1,17,1.51,167.09,55
2736,29,6,2007,55,35,87,75,105,119,29.2,38,1.48,156.72,54
2737,30,6,2007,54,55,79,69,87,105,26.7,54,,,56
2738,1,7,2007,56,54,64,72,79,87,27,52,1.45,159.41,51
2739,2,7,2007,51,56,64,65,95,79,28.2,52,1.42,160.21,50
2740,3,7,2007,50,51,74,72,104,95,28.1,55,1.22,174.1,50
2741,4,7,2007,50,50,95,68,104,104,28.7,56,1.53,212.39,42
2742,5,7,2007,42,50,71,64,125,104,29.9,36,2.36,256.45,37
2743,6,7,2007,37,42,63,64,136,125,27.8,19,1.33,208.14,40
2744,7,7,2007,40,37,63,57,98,136,28.1,30,1.2,190.78,40
2745,8,7,2007,40,40,65,58,100,98,29.3,37,1.16,202.53,38
2746,9,7,2007,38,40,63,50,118,100,29.5,46,1.22,192.84,43
2747,10,7,2007,43,38,79,59,115,118,30.1,47,1.59,225.81,45
2748,11,7,2007,45,43,94,63,113,115,30.5,47,2.77,315.99,42
2749,12,7,2007,42,45,70,74,134,113,27.8,25,2.36,253.09,45
2750,13,7,2007,45,42,83,38,138,134,27.6,21,1.83,245.52,55
2751,14,7,2007,55,45,85,35,112,138,28.6,25,1.57,170.63,62
2752,15,7,2007,62,55,92,32,92,112,28.9,35,1.33,178.71,46
2753,16,7,2007,46,62,82,49,115,92,29.9,37,1.19,210.02,42
2754,17,7,2007,42,46,86,59,137,115,31.7,36,1.15,200.57,43
2755,18,7,2007,43,42,98,50,127,137,31.9,38,1.2,196.04,40
2756,19,7,2007,40,43,87,45,135,127,32.4,33,1.25,175.94,50
2757,20,7,2007,50,40,83,52,120,135,31.6,42,1.24,182.09,55
2758,21,7,2007,55,50,77,59,104,120,30.9,47,1.13,217.39,57
2759,22,7,2007,57,55,83,60,94,104,31.5,47,1.1,193.8,49
2760,23,7,2007,49,57,70,50,147,94,32.5,40,0.93,234.98,62
2761,24,7,2007,62,49,89,56,160,147,34.7,33,0.88,200.28,64
2762,25,7,2007,64,62,93,68,159,160,35.2,28,2.07,253.33,76
2763,26,7,2007,76,64,108,89,138,159,31,30,1.53,151.78,58
2764,27,7,2007,58,76,83,68,94,138,30.2,47,1.27,188.77,53
2765,28,7,2007,53,58,75,60,91,94,30.2,49,1.28,164.61,55
2766,29,7,2007,55,53,79,62,80,91,30.6,49,1.28,204.57,47
2767,30,7,2007,47,55,62,49,90,80,29.4,60,1.59,205.97,52
2768,31,7,2007,52,47,78,61,111,90,29.8,40,,,47
2769,1,8,2007,47,52,81,60,110,111,29.6,39,1.86,153.95,49
2770,2,8,2007,49,47,70,52,78,110,26.1,48,1.64,157.37,53
2771,3,8,2007,53,49,78,56,85,78,27,53,1.32,159.22,47
2772,4,8,2007,47,53,74,52,83,85,27.1,56,1.74,219.55,29
2773,5,8,2007,29,47,53,36,78,83,19.2,78,1.45,277.77,36
2774,6,8,2007,36,29,64,40,89,78,21.5,65,1.42,270.25,39
2775,7,8,2007,39,36,76,53,114,89,26.7,47,1.2,211.78,45
2776,8,8,2007,45,39,80,46,99,114,27.8,50,0.93,154.26,51
2777,9,8,2007,51,45,83,51,104,99,28.1,56,1.1,170.81,46
2778,10,8,2007,46,51,72,49,89,104,28,64,0.6,173.39,52
2779,11,8,2007,52,46,77,50,83,89,28,64,1.59,274.63,44
2780,12,8,2007,44,52,83,66,95,83,28.9,35,1.11,290.47,38
2781,13,8,2007,38,44,79,52,109,95,29.5,34,1.24,191.98,37
2782,14,8,2007,37,38,79,52,119,109,31,32,1.22,221.73,58
2783,15,8,2007,58,37,86,66,82,119,30.7,34,1.21,166.58,58
2784,16,8,2007,58,58,87,58,77,82,29.3,46,1.28,169.31,52
2785,17,8,2007,52,58,81,53,88,77,29.3,51,1.14,188.56,61
2786,18,8,2007,61,52,80,58,84,88,29.9,51,1.28,171.58,53
2787,19,8,2007,53,61,76,57,70,84,29,61,1.31,157.44,45
2788,20,8,2007,45,53,60,47,89,70,29.7,59,1.22,168.82,45
2789,21,8,2007,45,45,63,47,92,89,29.3,59,1,172.45,44
2790,22,8,2007,44,45,63,49,111,92,30.3,55,0.88,204.32,48
2791,23,8,2007,48,44,44,51,124,111,31.7,47,1.12,185.86,38
2792,24,8,2007,38,48,65,50,104,124,32.6,42,1.04,155.67,34
2793,25,8,2007,34,38,77,55,107,104,32.7,34,,,46
2794,26,8,2007,46,34,77,58,96,107,30.8,40,,,50
2795,27,8,2007,50,46,79,70,106,96,29.8,39,,,52
2796,28,8,2007,52,50,74,82,91,106,28.9,47,,,49
2797,29,8,2007,49,52,64,76,89,91,28.8,50,,,40
2798,30,8,2007,40,49,52,48,97,89,29,57,,,37
2799,31,8,2007,37,40,55,31,114,97,29.6,55,,,46
2800,1,9,2007,46,37,64,42,96,114,29.3,56,,,39
2801,2,9,2007,39,46,62,43,88,96,24.6,61,,,45
2802,3,9,2007,45,39,62,44,102,88,26.1,56,,,49
2803,4,9,2007,49,45,67,46,94,102,27,59,,,38
2804,5,9,2007,38,49,58,33,101,94,24.9,54,,,25
2805,6,9,2007,25,38,49,32,103,101,21,32,,,16
